sentence,labels
DustySky contains a keylogger.,['T1056.001']
DustySky created folders in temp directories to host collected files before exfiltration.,['T1074.001']
DustySky extracts basic information about the operating system.,['T1082']
DustySky has exfiltrated data to the C2 server.,['T1041']
DustySky has used both HTTP and HTTPS for C2.,['T1071.001']
"DustySky scans the victim for files that contain certain keywords and document types including PDF, DOC, DOCX, XLS, and XLSX, from a list that is obtained from the C2 as a text file. It can also identify logical drives for the infected machine.",['T1083']
DustySky searches for network drives and removable media and duplicates itself onto them.,['T1570']
Dyre decrypts resources needed for targeting the victim.,['T1140']
Dyre has a command to download and executes additional files.,['T1105']
Dyre has the ability to achieve persistence by adding a new task in the task scheduler to run every minute.,['T1053.005']
Dyre has the ability to create files in a TEMP folder to act as a database to store information.,['T1074.001']
Dyre has the ability to directly inject its code into the web browser process.,['T1055']
Dyre has the ability to identify network settings on a compromised host.,['T1016']
"Dyre has the ability to identify the computer name, OS version, and hardware configuration on a compromised host.",['T1082']
Dyre has the ability to identify the users on a compromised host.,['T1033']
Dyre has the ability to send information staged on a compromised host externally to C2.,['T1041']
Dyre registers itself as a service by adding several Registry keys.,['T1543.003']
Dyre uses HTTPS for C2 communications.,['T1071.001']
ECCENTRICBANDWAGON can capture and store keystrokes.,['T1056.001']
ECCENTRICBANDWAGON can capture screenshots and store them locally.,['T1113']
ECCENTRICBANDWAGON can delete log files generated from the malware stored at C:\windows\temp\tmp0207.,['T1070.004']
ECCENTRICBANDWAGON can use cmd to execute commands on a victim’s machine.,['T1059.003']
ECCENTRICBANDWAGON has encrypted strings with RC4.,['T1027']
"ECCENTRICBANDWAGON has stored keystrokes and screenshots within the %temp%\GoogleChrome, %temp%\Downloads, and %temp%\TrendMicroUpdate directories.",['T1074.001']
EKANS can determine the domain of a compromised host.,['T1016']
EKANS can use Windows Mangement Instrumentation (WMI) calls to execute operations.,['T1047']
EKANS has been disguised as update.exe to appear as a valid executable.,['T1036.005']
EKANS looks for processes from a hard-coded list.,['T1057']
EKANS stops processes related to security and management software.,['T1562.001']
EKANS uses encoded strings in its process kill list.,['T1027']
ELMER is capable of performing directory listings.,['T1083']
ELMER is capable of performing process listings.,['T1057']
ELMER uses HTTP for command and control.,['T1071.001']
EVILNUM can achieve persistence through the Registry Run key.,['T1547.001']
EVILNUM can download and upload files to the victim's computer.,['T1105']
EVILNUM can execute commands and scripts through rundll32.,['T1218.011']
EVILNUM can make modifications to the Regsitry for persistence.,['T1112']
EVILNUM can obtain the computer name from the victim's system.,['T1082']
EVILNUM can obtain the username from the victim's machine.,['T1033']
EVILNUM can search for anti-virus products on the system.,['T1518.001']
EVILNUM can upload files over the C2 channel from the infected host.,['T1041']
EVILNUM has used the Windows Management Instrumentation (WMI) tool to enumerate infected machines.,['T1047']
"EVILNUM has used the malware variant, TerraTV, to run a legitimate TeamViewer application to connect to compromrised machines.",['T1219']
EXOTIC LILY conducted an e-mail thread-hijacking campaign with malicious ISO attachments.,['T1566.001']
"EXOTIC LILY has gained execution through victims clicking on malicious LNK files contained within ISO files, which can execute hidden DLLs within the ISO.",['T1204.002']
Earth Lusca adopted Cloudflare as a proxy for compromised servers.,['T1090']
Earth Lusca collected information on user accounts via the whoami command.,['T1033']
"Earth Lusca created a service using the command sc create “SysUpdate” binpath= “cmd /c start “[file path]””&&sc config “SysUpdate” start= auto&&net
start SysUpdate for persistence.",['T1543.003']
"Earth Lusca has compromised victims by directly exploiting vulnerabilities of public-facing servers, including those associated with Microsoft Exchange and Oracle GlassFish.",['T1190']
Earth Lusca has placed a malicious payload in %WINDIR%\SYSTEM32\oci.dll so it would be sideloaded by the MSDTC service.,['T1574.002']
Earth Lusca has used Mimikatz to exploit a domain controller via the ZeroLogon exploit (CVE-2020-1472).,['T1210']
Earth Lusca has used ProcDump to obtain the hashes of credentials by dumping the memory of the LSASS process.,['T1003.001']
Earth Lusca has used Tasklist to obtain information from a compromised host.,['T1057']
Earth Lusca has used certutil to decode a string into a cabinet file.,['T1140']
Earth Lusca has used the Fodhelper UAC bypass technique to gain elevated privileges.,['T1548.002']
Earth Lusca modified the registry using the command reg add “HKEY_CURRENT_USER\Environment” /v UserInitMprLogonScript /t REG_SZ /d “[file path]” for persistence.,['T1112']
Earth Lusca required users to click on a malicious file for the loader to activate.,['T1204.002']
Earth Lusca used Base64 to encode strings.,['T1027']
Earth Lusca used a VBA script to execute WMI.,['T1047']
Earth Lusca used the command ipconfig to obtain information about network configurations.,['T1016']
"Earth Lusca used the command move [file path] c:\windows\system32\spool\prtprocs\x64\spool.dll to move and register a malicious DLL name as a Windows print processor, which eventually was loaded by the Print Spooler service.",['T1036.005']
Ebury can disable SELinux Role-Based Access Control and deactivate PAM modules.,['T1562.001']
Ebury can exfiltrate SSH credentials through custom DNS queries.,['T1041']
Ebury can list directory entries.,['T1083']
"Ebury has encrypted C2 traffic using the client IP address, then encoded it as a hexadecimal string.",['T1573.001']
Ebury has obfuscated its strings with a simple XOR encryption with a static key.,['T1027']
Ebury has verified C2 domain ownership by decrypting the TXT record using an embedded RSA public key.,['T1140']
Ecipekac can abuse the legitimate application policytool.exe to load a malicious DLL.,['T1574.002']
Ecipekac can download additional payloads to a compromised host.,['T1105']
"Ecipekac can use XOR, AES, and DES to encrypt loader shellcode.",['T1027']
Ecipekac has the ability to decrypt fileless loader modules.,['T1140']
Egregor can inject its payload into iexplore.exe process.,['T1055']
Egregor can modify the GPO to evade detection.,['T1484.001']
Egregor can perform a language check of the infected system and can query the CPU information (cupid).,['T1082']
Egregor has been decrypted before execution.,['T1140']
Egregor has checked for the LogMein event log in an attempt to encrypt files in remote machines.,['T1219']
Egregor has communicated with its C2 servers via HTTPS protocol.,['T1071.001']
Egregor has disabled Windows Defender to evade protections.,['T1562.001']
Egregor has the ability to download files from its C2 server.,['T1105']
Egregor has used DLL side-loading to execute its payload.,['T1574.002']
Egregor has used batch files for execution and can launch Internet Explorer from cmd.exe.,['T1059.003']
Egregor has used rundll32 during execution.,['T1218.011']
Egregor has used the Windows API to make detection more difficult.,['T1106']
Egregor has used tools to gather information about users.,['T1033']
Elderwood has delivered zero-day exploits and malware to victims via targeted emails containing malicious attachments.,['T1566.001']
Elderwood has leveraged multiple types of spearphishing in order to attempt to get a user to open attachments.,['T1204.002']
Elise can download additional files from the C2 server for execution.,['T1105']
Elise communicates over HTTP or HTTPS for C2.,['T1071.001']
Elise configures itself as a service.,['T1543.003']
Elise creates a file in AppData\Local\Microsoft\Windows\Explorer and stores all harvested data in that file.,['T1074.001']
Elise encrypts exfiltrated data with RC4.,['T1573.001']
Elise enumerates processes via the tasklist command.,['T1057']
Elise executes ipconfig /all after initial communication is made to the remote server.,['T1016']
Elise executes systeminfo after initial communication is made to the remote server.,['T1082']
Elise is capable of launching a remote shell on the host to delete itself.,['T1070.004']
Ember Bear had used cmd.exe and Windows Script Host (wscript) to execute malicious code.,['T1059.003']
Ember Bear has attempted to lure victims into executing malicious files.,['T1204.002']
Ember Bear has executed a batch script designed to disable Windows Defender on a compromised host.,['T1562.001']
Ember Bear has obfuscated malware to help avoid detection.,['T1027']
"Ember Bear has sent spearphishing emails containing malicious attachments in the form of PDFs, Word documents, JavaScript files, and Control Panel File (CPL) executables.",['T1566.001']
Ember Bear has used an open source batch script to modify Windows Defender registry keys.,['T1112']
Ember Bear has used tools to download malicious code.,['T1105']
Emissary has the capability to create a remote shell and execute specified commands.,['T1059.003']
Emissary has the capability to download files from the C2 server.,['T1105']
Emissary has the capability to execute the command ipconfig /all.,['T1016']
Emissary has the capability to execute ver and systeminfo commands.,['T1082']
Emissary is capable of configuring itself as a service.,['T1543.003']
Emissary uses HTTP or HTTPS for C2.,['T1071.001']
Emotet has been delivered by phishing emails containing attachments. ,['T1566.001']
Emotet has been observed adding the downloaded payload to the HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run key to maintain persistence.,['T1547.001']
Emotet has been observed creating new services to maintain persistence.,['T1543.003']
Emotet has been observed dropping password grabber modules including Mimikatz. ,['T1003.001']
Emotet has been observed enumerating local processes.,['T1057']
Emotet has been observed leveraging a module that retrieves passwords stored on a system for the current logged-on user. ,['T1552.001']
Emotet has been seen exploiting SMB via a vulnerability exploit like EternalBlue (MS17-010) to achieve lateral movement and propagation.,['T1210']
Emotet has copied itself to remote systems using the service.exe filename.,['T1570']
Emotet has enumerated all users connected to network shares.,['T1033']
Emotet has exfiltrated data over its C2 channel.,['T1041']
Emotet has maintained persistence through a scheduled task. ,['T1053.005']
Emotet has relied upon users clicking on a malicious attachment delivered through spearphishing.,['T1204.002']
Emotet has used CreateProcess to create a new process to run its executable and WNetEnumResourceW to enumerate non-hidden shares.,['T1106']
Emotet has used HTTP for command and control.,['T1071.001']
Emotet has used WMI to execute powershell.exe.,['T1047']
Emotet has used a self-extracting RAR file to deliver modules to victims. Emotet has also extracted embedded executables from files using hard-coded buffer offsets.,['T1140']
Emotet has used cmd.exe to run a PowerShell script. ,['T1059.003']
"Empire can acquire network configuration information like DNS servers, public IP, and network proxies used by a host.",['T1016']
Empire can conduct command and control over protocols like HTTP and HTTPS.,['T1071.001']
Empire can enumerate antivirus software on the target.,['T1518.001']
"Empire can enumerate host system information like OS, architecture, domain name, applied patches, and more.",['T1082']
Empire can enumerate the username on targeted hosts.,['T1033']
Empire can exploit vulnerabilities such as MS16-032 and MS16-135.,['T1068']
Empire can find information about processes running on local and remote systems.,['T1057']
Empire can modify the registry run keys HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run and HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run for persistence.,['T1547.001']
Empire can send data gathered from a target through the command and control channel.,['T1041']
Empire can upload and download to and from a victim machine.,['T1105']
Empire can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,['T1557.001']
Empire can use New-GPOImmediateTask to modify a GPO that will install and execute a malicious Scheduled Task/Job.,['T1484.001']
Empire can use PsExec to execute a payload on a remote host.,['T1569.002']
Empire can use WMI to deliver a payload to a remote host.,['T1047']
Empire can use various modules to search for files containing passwords.,['T1552.001']
Empire can utilize built-in modules to modify service binaries and restore them to their original state.,['T1543.003']
Empire contains a variety of enumeration modules that have an option to use API calls to carry out tasks.,['T1106']
Empire contains an implementation of Mimikatz to gather credentials from memory.,['T1003.001']
"Empire contains multiple modules for injecting into processes, such as Invoke-PSInject.",['T1055']
"Empire has a limited number of built-in modules for exploiting remote SMB, JBoss, and Jenkins servers.",['T1210']
Empire has modules for executing scripts.,['T1059.003']
Empire has modules to interact with the Windows task scheduler.,['T1053.005']
"Empire includes keylogging capabilities for Windows, Linux, and macOS systems.",['T1056.001']
Empire includes various modules for finding files of interest on hosts and network shares.,['T1083']
Empire includes various modules to attempt to bypass UAC for escalation of privileges.,['T1548.002']
Empire is capable of capturing screenshots on Windows and macOS systems.,['T1113']
EnvyScout can collect sensitive NTLM material from a compromised host.,['T1005']
EnvyScout can deobfuscate and write malicious ISO files to disk.,['T1140']
EnvyScout can determine whether the ISO payload was received by a Windows or iOS device.,['T1082']
EnvyScout can use cmd.exe to execute malicious files on compromised hosts.,['T1059.003']
EnvyScout can use hidden directories and files to hide malicious executables.,['T1564.001']
EnvyScout has been distributed via spearphishing as an email attachment.,['T1566.001']
EnvyScout has been executed through malicious files attached to e-mails.,['T1204.002']
EnvyScout has the ability to proxy execution of malicious files with Rundll32.,['T1218.011']
"Epic collects the OS version, hardware information, computer name, available system memory status, disk space information, and system and user language settings.",['T1082']
Epic collects the user name from the victim’s machine.,['T1033']
Epic encrypts commands from the C2 server using a hardcoded key.,['T1573.001']
Epic has a command to delete a file from the machine.,['T1070.004']
Epic heavily obfuscates its code to make analysis more difficult.,['T1027']
"Epic recursively searches for all .doc files on the system and collects a directory listing of the Desktop, %TEMP%, and %WINDOWS%\Temp directories.",['T1083']
Epic searches for anti-malware services running on the victim’s machine and terminates itself if it finds them.,['T1518.001']
Epic uses HTTP and HTTPS for C2 communications.,['T1071.001']
Epic uses the nbtstat -n and nbtstat -s commands on the victim’s machine.,['T1016']
Epic uses the rem reg query command to obtain values from Registry keys.,['T1012']
Epic uses the tasklist /v command to obtain a list of processes.,['T1057']
EvilBunny has an integrated scripting engine to download and execute Lua scripts.,['T1059.003']
EvilBunny has been observed querying installed antivirus software.,['T1518.001']
EvilBunny has created Registry keys for persistence in [HKLM|HKCU]\…\CurrentVersion\Run.,['T1547.001']
EvilBunny has deleted the initial dropper after running through the environment checks.,['T1070.004']
EvilBunny has downloaded additional Lua scripts from the C2.,['T1105']
EvilBunny has executed C2 commands directly via HTTP.,['T1071.001']
EvilBunny has executed commands via scheduled tasks.,['T1053.005']
EvilBunny has used EnumProcesses() to identify how many process are running in the environment.,['T1057']
EvilBunny has used WMI to gather information about the system.,['T1047']
EvilBunny has used various API calls as part of its checks to see if the malware is running in a sandbox.,['T1106']
EvilGrab adds a Registry Run key for ctfmon.exe to establish persistence.,['T1547.001']
EvilGrab has the capability to capture keystrokes.,['T1056.001']
EvilGrab has the capability to capture screenshots.,['T1113']
Evilnum can deploy additional components or tools as needed.,['T1105']
Evilnum has deleted files used during infection.,['T1070.004']
Evilnum has used PowerShell to bypass UAC.,['T1548.002']
Exaramel for Linux can decrypt its configuration file.,['T1140']
Exaramel for Linux can run whoami to identify the system owner.,['T1033']
Exaramel for Linux can uninstall its persistence mechanism and delete its configuration file.,['T1070.004']
Exaramel for Linux has a command to download a file from  and to a remote C2 server.,['T1105']
Exaramel for Linux uses HTTPS for C2 communications.,['T1071.001']
Exaramel for Windows adds the configuration to the Registry in XML format.,['T1112']
Exaramel for Windows has a command to launch a remote shell and executes commands on the victim’s machine.,['T1059.003']
Exaramel for Windows specifies a path to store files scheduled for exfiltration.,['T1074.001']
Expand can be used to decompress a local or remote CAB file into an executable.,['T1140']
Expand can be used to download or upload a file over a network share.,['T1570']
Explosive has a function to call the OpenClipboard wrapper.,['T1106']
Explosive has a function to download a file to the infected system.,['T1105']
Explosive has a function to write itself to Registry values.,['T1112']
Explosive has collected the MAC address from the victim's machine.,['T1016']
Explosive has collected the computer name from the infected host.,['T1082']
Explosive has collected the username from the infected host.,['T1033']
Explosive has commonly set file and path attributes to hidden.,['T1564.001']
Explosive has encrypted communications with the RC4 method.,['T1573.001']
Explosive has leveraged its keylogging capabilities to gain access to administrator accounts on target servers.,['T1056.001']
Explosive has used HTTP for communication.,['T1071.001']
"FALLCHILL can collect operating system (OS) version information, processor information, system name, and information about installed disks from the victim.",['T1082']
FALLCHILL can delete malware and associated artifacts from the victim.,['T1070.004']
FALLCHILL can search files on a victim.,['T1083']
FALLCHILL collects MAC address and local IP address information from the victim.,['T1016']
FALLCHILL encrypts C2 data with RC4 encryption.,['T1573.001']
FALLCHILL has been installed as a Windows service.,['T1543.003']
FELIXROOT adds a shortcut file to the startup folder for persistence.,['T1547.001']
FELIXROOT checks for installed security software like antivirus and firewall.,['T1518.001']
FELIXROOT collects a list of running processes.,['T1057']
FELIXROOT collects information about the network including the IP address and DHCP server.,['T1016']
FELIXROOT collects the username from the victim’s machine.,['T1033']
"FELIXROOT collects the victim’s computer name, processor architecture, OS version, volume serial number, and system type.",['T1082']
FELIXROOT deletes the .LNK file from the startup directory as well as the dropper components.,['T1070.004']
FELIXROOT deletes the Registry key HKCU\Software\Classes\Applications\rundll32.exe\shell\open.,['T1112']
FELIXROOT downloads and uploads files to and from the victim’s machine.,['T1105']
"FELIXROOT executes batch scripts on the victim’s machine, and can launch a reverse shell for command execution.",['T1059.003']
FELIXROOT queries the Registry for specific keys for potential privilege escalation and proxy information. FELIXROOT has also used WMI to query the Windows Registry.,['T1012']
FELIXROOT uses HTTP and HTTPS to communicate with the C2 server.,['T1071.001']
FELIXROOT uses Rundll32 for executing the dropper program.,['T1218.011']
FELIXROOT uses WMI to query the Windows Registry.,['T1047']
FIN10 has deployed Meterpreter stagers and SplinterRAT instances in the victim network after moving laterally.,['T1570']
FIN10 has established persistence by using S4U tasks as well as the Scheduled Task option in PowerShell Empire.,['T1053.005']
FIN10 has established persistence by using the Registry option in PowerShell Empire to add a Run key.,['T1547.001']
FIN10 has executed malicious .bat files containing PowerShell commands.,['T1059.003']
FIN10 has used Meterpreter to enumerate users on remote systems.,['T1033']
FIN10 has used RDP to move laterally to systems in the victim environment.,['T1021.001']
FIN10 has used batch scripts and scheduled tasks to delete critical system files.,['T1070.004']
FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor.,['T1078']
"FIN13 has collected local host information by utilizing Windows commands systeminfo, fsutil, and fsinfo. FIN13 has also utilized a compromised Symantex Altiris console and LanDesk account to retrieve host information.",['T1082']
FIN13 has created hidden files and folders within a compromised Linux system /tmp directory. FIN13 also has used attrib.exe to hide gathered local host information.,['T1564.001']
FIN13 has created scheduled tasks in the C:\Windows directory of the compromised network.,['T1053.005']
FIN13 has downloaded additional tools and malware to compromised systems.,['T1105']
"FIN13 has exploited known vulnerabilities such as CVE-2017-1000486 (Primefaces Application Expression Language Injection), CVE-2015-7450 (WebSphere Application Server SOAP Deserialization Exploit), CVE-2010-5326 (SAP NewWeaver Invoker Servlet Exploit), and EDB-ID-24963 (SAP NetWeaver ConfigServlet Remote Code Execution) to gain initial access.",['T1190']
"FIN13 has gathered stolen credentials, sensitive data such as point-of-sale (POS), and ATM data from a compromised network before exfiltration.",['T1005']
FIN13 has leveraged xp_cmdshell and Windows Command Shell to execute commands on a compromised machine. FIN13 has also attempted to leverage the ‘xp_cmdshell’ SQL procedure to execute remote commands on internal MS-SQL servers.,['T1059.003']
FIN13 has logged the keystrokes of victims to escalate privileges.,['T1056.001']
"FIN13 has masqueraded WAR files to look like legitimate packages such as, wsexample.war, wsexamples.com, examples.war, and exampl3s.war.",['T1036.005']
FIN13 has obtained administrative credentials by browsing through local files on a compromised machine.,['T1552.001']
FIN13 has obtained memory dumps with ProcDump to parse and extract credentials from a victim's LSASS process memory with Mimikatz.,['T1003.001']
FIN13 has remotely accessed compromised environments via Remote Desktop Services (RDS) for lateral movement.,['T1021.001']
FIN13 has used HTTP requests to chain multiple web shells and to contact actor-controlled C2 servers prior to exfiltrating stolen data.,['T1071.001']
FIN13 has used IISCrack.dll as a side-loading technique to load a malicious version of httpodbc.dll on old IIS Servers (CVE-2001-0507).,['T1574.002']
"FIN13 has used Windows Registry run keys such as, HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Run\hosts to maintain persistence.",['T1547.001']
FIN13 has used nslookup and ipconfig for network reconnaissance efforts. FIN13 has also utilized a compromised Symantec Altiris console and LanDesk account to retrieve network information.,['T1016']
FIN13 has used the Windows dir command to enumerate files and directories in a victim's network.,['T1083']
FIN13 has utilized WMI to execute commands and move laterally on compromised Windows machines.,['T1047']
FIN13 has utilized certutil to decode base64 encoded versions of custom malware.,['T1140']
FIN13 has utilized the following temporary folders on compromised Windows and Linux systems for their operations prior to exfiltration: C:\Windows\Temp and /tmp.,['T1074.001']
FIN4 has captured credentials via fake Outlook Web App (OWA) login pages and has also used a .NET based keylogger.,['T1056.001']
FIN4 has lured victims to launch malicious attachments delivered via spearphishing emails (often sent from compromised accounts).,['T1204.002']
FIN4 has used HTTP POST requests to transmit data.,['T1071.001']
FIN4 has used legitimate credentials to hijack email communications.,['T1078']
"FIN4 has used spearphishing emails containing attachments (which are often stolen, legitimate documents sent from compromised accounts) with embedded malicious macros.",['T1566.001']
FIN5 has has used the tool GET2 Penetrator to look for remote login and hard-coded credentials.,['T1110']
"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment.",['T1078']
FIN5 scripts save memory dump data into a specific directory on hosts in the victim environment.,['T1074.001']
FIN5 uses SDelete to clean up the environment and attempt to prevent detection.,['T1070.004']
FIN6 has collected and exfiltrated payment card data from compromised systems.,['T1005']
FIN6 has created Windows services to execute encoded PowerShell commands.,['T1569.002']
FIN6 has deployed a utility script named kill.bat to disable anti-virus.,['T1562.001']
FIN6 has removed files from victim machines.,['T1070.004']
FIN6 has targeted victims with e-mails containing malicious attachments.,['T1566.001']
FIN6 has used Metasploit Bind and Reverse TCP stagers.,['T1095']
FIN6 has used Registry Run keys to establish persistence for its downloader tools known as HARDTACK and SHIPBREAD.,['T1547.001']
FIN6 has used WMI to automate the remote execution of PowerShell scripts.,['T1047']
FIN6 has used Windows Credential Editor for credential dumping.,['T1003.001']
FIN6 has used kill.bat script to disable security tools.,['T1059.003']
FIN6 has used malicious documents to lure victims into allowing execution of PowerShell scripts.,['T1204.002']
"FIN6 has used scheduled tasks to establish persistence for various malware it uses, including downloaders known as HARDTACK and SHIPBREAD and FrameworkPOS.",['T1053.005']
"FIN6 has used tools to exploit Windows vulnerabilities in order to escalate privileges. The tools targeted CVE-2013-3660, CVE-2011-2005, and CVE-2010-4398, all of which could allow local users to access kernel-level privileges.",['T1068']
FIN6 used RDP to move laterally in victim networks.,['T1021.001']
FIN7 captured screenshots and desktop video recordings.,['T1113']
FIN7 created new Windows services and added them to the startup directories for persistence.,['T1543.003']
FIN7 has attempted to run Darkside ransomware with the filename sleep.exe.,['T1036.005']
FIN7 has collected files and other sensitive information from a compromised network.,['T1005']
FIN7 has compromised targeted organizations through exploitation of CVE-2021-31207 in Exchange.,['T1190']
"FIN7 has downloaded additional malware to execute on the victim's machine, including by using a PowerShell script to launch shellcode that retrieves an additional payload.",['T1105']
FIN7 has exploited ZeroLogon (CVE-2020-1472) against vulnerable domain controllers.,['T1210']
FIN7 has harvested valid administrative credentials for lateral movement.,['T1078']
FIN7 has used RDP to move laterally in victim environments.,['T1021.001']
FIN7 has used WMI to install malware on targeted systems.,['T1047']
FIN7 has used rundll32.exe to execute malware on a compromised network.,['T1218.011']
FIN7 has used the command cmd.exe /C quser to collect user session information.,['T1033']
FIN7 has utilized the remote management tool Atera to download malware to a compromised system.,['T1219']
FIN7 lured victims to double-click on images in the attachments they sent which would then execute the hidden LNK file.,['T1204.002']
"FIN7 malware has created Registry Run and RunOnce keys to establish persistence, and has also added items to the Startup folder.",['T1547.001']
FIN7 malware has created scheduled tasks to establish persistence.,['T1053.005']
FIN7 sent spearphishing emails with either malicious Microsoft Documents or RTF files attached.,['T1566.001']
FIN7 used the command prompt to launch commands on the victim’s machine.,['T1059.003']
FIN8 harvests credentials using Invoke-Mimikatz or Windows Credentials Editor (WCE).,['T1003.001']
FIN8 has deleted Registry keys during post compromise cleanup activities.,['T1112']
FIN8 has deleted tmp and prefetch files during post compromise cleanup activities. FIN8 has also deleted PowerShell scripts to evade detection on compromised machines.,['T1070.004']
FIN8 has distributed targeted emails containing Word documents with embedded malicious macros.,['T1566.001']
FIN8 has executed the command quser to display the session details of a compromised machine.,['T1033']
FIN8 has exploited the CVE-2016-0167 local vulnerability.,['T1068']
FIN8 has used HTTPS for command and control.,['T1071.001']
FIN8 has used PowerShell Scripts to check the architecture of a compromised machine before the selection of a 32-bit or 64-bit version of a malicious .NET loader.,['T1082']
FIN8 has used RDP for lateral movement.,['T1021.001']
FIN8 has used Registry keys to detect and avoid executing in potential sandboxes.,['T1518.001']
FIN8 has used a Batch file to automate frequently executed post compromise cleanup activities.,['T1059.003']
FIN8 has used malicious e-mail attachments to lure victims into executing malware.,['T1204.002']
FIN8 has used remote code execution to download subsequent payloads.,['T1105']
FIN8 has used scheduled tasks to maintain RDP backdoors.,['T1053.005']
FIN8 has used valid accounts for persistence and lateral movement.,['T1078']
"FIN8's malicious spearphishing payloads use WMI to launch malware and spawn cmd.exe execution. FIN8 has also used WMIC and the Impacket suite for lateral movement, as well as during and post compromise cleanup activities.",['T1047']
FIVEHANDS can use WMI to delete files on a  target machine.,['T1047']
FIVEHANDS has the ability to decrypt its payload prior to execution.,['T1140']
FIVEHANDS has the ability to enumerate files on a compromised host in order to encrypt files with specific extensions.,['T1083']
FLASHFLOOD achieves persistence by making an entry in the Registry's Run key.,['T1547.001']
FLASHFLOOD searches for interesting files (either a default or customized set of file extensions) on the local system and removable media.,['T1083']
"FLASHFLOOD searches for interesting files (either a default or customized set of file extensions) on the local system. FLASHFLOOD will scan the My Recent Documents, Desktop, Temporary Internet Files, and TEMP directories. FLASHFLOOD also collects information stored in the Windows Address Book.",['T1005']
"FLASHFLOOD stages data it copies from the local system or removable drives in the ""%WINDIR%\$NtUninstallKB885884$\"" directory.",['T1074.001']
FRAMESTING can decompress data received within POST requests.,['T1140']
FRAMESTING can retrieve C2 commands from values stored in the DSID cookie from the current HTTP request or from decompressed zlib data within the request's POST data.,['T1071.001']
FYAnti can download additional payloads to a compromised host.,['T1105']
FYAnti can search the C:\Windows\Microsoft.NET\ directory for files of a specified size.,['T1083']
FYAnti has the ability to decrypt an embedded .NET module.,['T1140']
FakeM contains a keylogger module.,['T1056.001']
FatDuke can AES encrypt C2 communications.,['T1573.001']
FatDuke can be controlled via a custom C2 protocol over HTTP.,['T1071.001']
FatDuke can call ShellExecuteW to open the default browser on the URL localhost.,['T1106']
"FatDuke can collect the user name, Windows version, computer name, and available space on discs from a compromised host.",['T1082']
FatDuke can copy files and directories from a compromised host.,['T1005']
FatDuke can decrypt AES encrypted C2 communications.,['T1140']
FatDuke can enumerate directories on target machines.,['T1083']
FatDuke can execute via rundll32.,['T1218.011']
FatDuke can get user agent strings for the default browser from HKCU\Software\Classes\http\shell\open\command.,['T1012']
FatDuke can identify the MAC address on the target computer.,['T1016']
FatDuke can list running processes on the localhost.,['T1057']
FatDuke can secure delete its DLL.,['T1070.004']
"FatDuke can use base64 encoding, string stacking, and opaque predicates for obfuscation.",['T1027']
FatDuke has used HKLM\SOFTWARE\Microsoft\CurrentVersion\Run to establish persistence.,['T1547.001']
Felismus can download files from remote servers.,['T1105']
Felismus checks for processes associated with anti-virus vendors.,['T1518.001']
Felismus collects the current username and sends it to the C2 server.,['T1033']
"Felismus collects the system information, including hostname and OS version, and sends it to the C2 server.",['T1082']
Felismus collects the victim LAN IP address and sends it to the C2 server.,['T1016']
Felismus has masqueraded as legitimate Adobe Content Management System files.,['T1036.005']
Felismus uses HTTP for C2.,['T1071.001']
Felismus uses command line for execution.,['T1059.003']
Ferocious Kitten has attempted to convince victims to enable malicious content within a spearphishing email by including an odd decoy message.,['T1204.002']
Ferocious Kitten has conducted spearphishing campaigns containing malicious documents to lure victims to open the attachments.,['T1566.001']
Ferocious Kitten has named malicious files update.exe and loaded them into the compromise host's “Public” folder.,['T1036.005']
Ferocious can delete files from a compromised host.,['T1070.004']
Ferocious can use GET.WORKSPACE in Microsoft Excel to determine the OS version of the compromised host.,['T1082']
Ferocious has checked for AV software as part of its persistence process.,['T1518.001']
Ferocious has the ability to add a Class ID in the current user Registry hive to enable persistence mechanisms.,['T1112']
FinFisher checks if the victim OS is 32 or 64-bit.,['T1082']
FinFisher checks its parent process for indications that it is running in a sandbox setup.,['T1057']
FinFisher creates a new Windows service with the malicious executable for persistence.,['T1543.003']
FinFisher enumerates directories and scans for certain files.,['T1083']
FinFisher establishes persistence by creating the Registry key HKCU\Software\Microsoft\Windows\Run.,['T1547.001']
"FinFisher extracts and decrypts stage 3 malware, which is stored in encrypted resources.",['T1140']
"FinFisher is heavily obfuscated in many ways, including through the use of spaghetti code in its functions in an effort to confuse disassembly programs. It also uses a custom XOR algorithm to obfuscate code.",['T1027']
FinFisher performs UAC bypass.,['T1548.002']
FinFisher probes the system to check for antimalware processes.,['T1518.001']
FinFisher queries Registry values as part of its anti-sandbox checks.,['T1012']
FinFisher renames one of its .dll files to uxtheme.dll in an apparent attempt to masquerade as a legitimate file.,['T1036.005']
FinFisher takes a screenshot of the screen and displays it on top of all other windows for few seconds in an apparent attempt to hide some messages showed by the system during the setup process.,['T1113']
FinFisher uses DLL side-loading to load malicious programs.,['T1574.002']
